Job ID,Company,Role,URL,Salary Range,Status,Date Applied,Follow-up Date,Notes
1,OnTop,Customer Success Manager,https://inclusivelyremote.com/job/customer-success-manager-50/,80K-140K,Not Applied,,,"Matches: Salesforce, payments, retention"
2,Scale Army,Operations Coordinator,https://remoteotter.com/company/scale-army/jobs/remote-operations-coordinator_6a81798d-3033-42dc-b14a-74aba38028af,55K-70K,Not Applied,,,"Matches: Twitter ops, CRM experience"
3,Nextiva,Account Executive,https://remotive.com/remote/jobs/sales-business/jr-account-executive-3364362,70K-120K,Not Applied,,,"Natural progression from current roles"
4,Tremendous,Customer Success Manager,https://workinvirtual.com/job/customer-success-manager-saas-account-growth-retention-us-remote-80k-140k/,80K-140K,Not Applied,,,"Fintech/payments experience"
5,Remote (company),Operations Coordinator,https://remoteotter.com/company/zelh/jobs/remote-operations-coordinator_2766f2a3-91f5-44b5-a8de-0c7941425ee6,50K-65K,Not Applied,,,"Operations experience"
6,Marvelous.works,Operations Coordinator,https://jobflarely.liveblog365.com/job/remote-operations-coordinator-11,50K-60K,Not Applied,,,"Ad tech, startup experience"
7,Blockworks,Web3 Operations Coordinator,https://web3.career/operations-coordinator-blockworks/142349,75K,Not Applied,,,"Operations + tech bonus"
8,Shown Media,People & Operations Coordinator,https://dynamitejobs.com/company/shownmedia/remote-job/people-operations-coordinator,50K-75K,Not Applied,,,"Startup, growth potential"
9,Hearth,Senior Account Executive,https://www.remotefront.com/remote-jobs/hearth-senior-account-executive-april-2026-start-date-07439,"40K+150K commission",Not Applied,,,"Uncapped earnings potential"
10,Honor,Operations Coordinator,https://dynamitejobs.com/company/honor/remote-job/operations-coordinator,21.60/hr,Not Applied,,,"Healthcare operations"
11,ProductWind,Account Executive,https://dynamitejobs.com/company/productwind/remote-job/account-executive,70K-120K,Not Applied,,,"SaaS sales"
12,Caylent,Operations Coordinator,https://www.remotely.jobs/show/8302cc21b6ac3137dbf846679d0a640066825a82c86352b3b704c53e4044211d,Competitive,Not Applied,,,"Tech startup"
